CH1,CH2,Start,Increment,
Volt,Volt,-2.934000e-01,5.000000e-04
7.400000e+00,4.760000e-01,
7.640000e+00,4.760000e-01,
7.560000e+00,4.760000e-01,
7.880000e+00,4.760000e-01,
7.760000e+00,4.760000e-01,
8.040000e+00,4.760000e-01,
8.080000e+00,4.760000e-01,
0.000000e+00,2.080000e-01,
1.200000e-01,3.120000e-01,
0.000000e+00,2.620000e-01,
0.000000e+00,2.840000e-01,
1.200000e-01,1.620000e-01,
0.000000e+00,1.860000e-01,
1.200000e-01,4.200000e-02,
0.000000e+00,6.800000e-02,
1.200000e-01,-2.000000e-02,
4.000000e-02,-6.000000e-03,
1.200000e-01,-3.400000e-02,
1.200000e-01,-3.400000e-02,
4.000000e-02,-3.400000e-02,
4.000000e-02,-3.400000e-02,
1.200000e-01,-3.200000e-02,
4.000000e-02,-3.400000e-02,
1.200000e-01,-1.600000e-02,
1.200000e-01,-3.200000e-02,
4.000000e-02,4.000000e-03,
5.600000e-01,-3.400000e-02,
-8.000000e-02,3.200000e-02,
3.200000e-01,2.000000e-03,
5.600000e-01,4.400000e-02,
4.800000e-01,-2.000000e-03,
7.600000e-01,5.400000e-02,
7.200000e-01,6.000000e-03,
9.600000e-01,3.800000e-02,
8.800000e-01,-2.000000e-03,
1.200000e+00,5.400000e-02,
1.120000e+00,2.800000e-02,
1.360000e+00,6.000000e-03,
1.280000e+00,2.000000e-03,
1.600000e+00,3.400000e-02,
1.440000e+00,-8.000000e-03,
1.760000e+00,4.800000e-02,
1.680000e+00,2.000000e-03,
1.960000e+00,3.000000e-02,
1.880000e+00,-1.200000e-02,
2.160000e+00,4.800000e-02,
2.080000e+00,3.000000e-02,
2.320000e+00,0.000000e+00,
2.280000e+00,2.000000e-03,
2.560000e+00,3.400000e-02,
2.480000e+00,-4.000000e-03,
2.720000e+00,5.200000e-02,
2.640000e+00,1.400000e-02,
2.960000e+00,4.000000e-02,
2.880000e+00,1.200000e-02,
3.160000e+00,6.800000e-02,
3.040000e+00,2.200000e-02,
3.360000e+00,6.000000e-02,
3.240000e+00,3.200000e-02,
3.520000e+00,6.800000e-02,
3.440000e+00,3.200000e-02,
3.720000e+00,9.000000e-02,
3.640000e+00,9.200000e-02,
3.920000e+00,6.400000e-02,
3.840000e+00,6.200000e-02,
4.120000e+00,1.120000e-01,
4.040000e+00,8.000000e-02,
4.320000e+00,1.380000e-01,
4.240000e+00,1.500000e-01,
4.520000e+00,9.400000e-02,
4.440000e+00,1.060000e-01,
4.720000e+00,1.840000e-01,
4.640000e+00,1.860000e-01,
4.920000e+00,1.500000e-01,
4.840000e+00,1.300000e-01,
5.080000e+00,2.060000e-01,
5.000000e+00,1.600000e-01,
5.280000e+00,2.480000e-01,
5.200000e+00,2.400000e-01,
5.480000e+00,1.840000e-01,
5.400000e+00,1.900000e-01,
5.720000e+00,3.040000e-01,
5.600000e+00,3.140000e-01,
5.880000e+00,2.680000e-01,
5.800000e+00,2.540000e-01,
6.080000e+00,3.140000e-01,
6.040000e+00,3.040000e-01,
6.280000e+00,4.420000e-01,
6.200000e+00,4.200000e-01,
6.480000e+00,3.620000e-01,
6.400000e+00,3.660000e-01,
6.680000e+00,4.760000e-01,
6.600000e+00,4.760000e-01,
6.880000e+00,4.760000e-01,
6.760000e+00,4.760000e-01,
7.080000e+00,4.760000e-01,
7.000000e+00,4.760000e-01,
7.240000e+00,4.760000e-01,
7.160000e+00,4.760000e-01,
7.480000e+00,4.760000e-01,
7.400000e+00,4.760000e-01,
7.640000e+00,4.760000e-01,
7.560000e+00,4.760000e-01,
7.880000e+00,4.760000e-01,
7.800000e+00,4.760000e-01,
8.040000e+00,4.760000e-01,
8.160000e+00,4.760000e-01,
0.000000e+00,2.860000e-01,
1.200000e-01,3.780000e-01,
0.000000e+00,4.120000e-01,
1.200000e-01,3.900000e-01,
0.000000e+00,2.480000e-01,
1.200000e-01,2.880000e-01,
0.000000e+00,1.120000e-01,
0.000000e+00,1.400000e-01,
1.200000e-01,-2.000000e-03,
4.000000e-02,1.000000e-02,
1.200000e-01,-3.400000e-02,
1.200000e-01,-3.400000e-02,
4.000000e-02,-3.400000e-02,
4.000000e-02,-3.400000e-02,
1.200000e-01,-3.400000e-02,
1.200000e-01,-3.400000e-02,
4.000000e-02,-3.000000e-02,
1.200000e-01,-3.400000e-02,
4.000000e-02,-6.000000e-03,
5.200000e-01,-3.400000e-02,
-1.200000e-01,3.400000e-02,
3.200000e-01,1.400000e-02,
5.600000e-01,4.400000e-02,
4.800000e-01,2.000000e-02,
8.000000e-01,4.000000e-02,
7.200000e-01,6.600000e-02,
9.600000e-01,1.600000e-02,
8.800000e-01,3.600000e-02,
1.200000e+00,1.400000e-02,
1.080000e+00,-1.200000e-02,
1.360000e+00,3.200000e-02,
1.280000e+00,2.800000e-02,
1.560000e+00,6.000000e-03,
1.440000e+00,2.600000e-02,
1.760000e+00,4.000000e-03,
1.680000e+00,4.000000e-03,
1.960000e+00,2.600000e-02,
1.880000e+00,6.000000e-03,
2.160000e+00,2.800000e-02,
2.080000e+00,2.600000e-02,
2.320000e+00,6.000000e-03,
2.280000e+00,-6.000000e-03,
2.560000e+00,3.400000e-02,
2.480000e+00,1.200000e-02,
2.720000e+00,3.200000e-02,
2.640000e+00,1.800000e-02,
2.960000e+00,6.600000e-02,
2.880000e+00,2.400000e-02,
3.120000e+00,4.400000e-02,
3.040000e+00,3.000000e-02,
3.360000e+00,6.000000e-02,
3.240000e+00,6.000000e-02,
3.520000e+00,4.000000e-02,
3.440000e+00,4.000000e-02,
3.720000e+00,8.400000e-02,
3.640000e+00,6.000000e-02,
3.920000e+00,9.400000e-02,
3.840000e+00,6.600000e-02,
4.120000e+00,9.800000e-02,
4.040000e+00,9.000000e-02,
4.320000e+00,1.340000e-01,
4.240000e+00,1.300000e-01,
4.480000e+00,7.600000e-02,
4.400000e+00,1.020000e-01,
4.720000e+00,1.740000e-01,
4.640000e+00,1.860000e-01,
4.880000e+00,1.480000e-01,
4.840000e+00,1.420000e-01,
5.080000e+00,1.900000e-01,
5.000000e+00,1.780000e-01,
5.280000e+00,2.460000e-01,
5.240000e+00,2.400000e-01,
5.480000e+00,1.940000e-01,
5.400000e+00,1.940000e-01,
5.680000e+00,2.960000e-01,
5.600000e+00,3.160000e-01,
5.880000e+00,2.760000e-01,
5.800000e+00,2.620000e-01,
6.080000e+00,3.160000e-01,
6.000000e+00,3.040000e-01,
6.280000e+00,4.200000e-01,
6.200000e+00,4.200000e-01,
6.480000e+00,3.680000e-01,
6.400000e+00,3.700000e-01,
6.680000e+00,4.760000e-01,
6.600000e+00,4.760000e-01,
6.840000e+00,4.760000e-01,
6.760000e+00,4.760000e-01,
7.080000e+00,4.760000e-01,
7.000000e+00,4.760000e-01,
7.240000e+00,4.760000e-01,
7.160000e+00,4.760000e-01,
7.480000e+00,4.760000e-01,
7.400000e+00,4.760000e-01,
7.640000e+00,4.760000e-01,
7.560000e+00,4.760000e-01,
7.880000e+00,4.760000e-01,
7.800000e+00,4.760000e-01,
8.040000e+00,4.760000e-01,
8.080000e+00,4.760000e-01,
0.000000e+00,2.020000e-01,
1.200000e-01,3.140000e-01,
0.000000e+00,2.640000e-01,
8.000000e-02,2.760000e-01,
0.000000e+00,1.640000e-01,
8.000000e-02,1.720000e-01,
0.000000e+00,5.400000e-02,
0.000000e+00,6.800000e-02,
1.200000e-01,-2.000000e-02,
0.000000e+00,-1.000000e-02,
1.200000e-01,-3.400000e-02,
4.000000e-02,-3.400000e-02,
1.200000e-01,-3.400000e-02,
4.000000e-02,-3.400000e-02,
1.200000e-01,-1.200000e-02,
4.000000e-02,-3.400000e-02,
1.200000e-01,-1.600000e-02,
1.200000e-01,-2.800000e-02,
4.000000e-02,0.000000e+00,
5.600000e-01,-3.400000e-02,
-8.000000e-02,3.200000e-02,
3.200000e-01,4.000000e-02,
5.600000e-01,1.400000e-02,
4.800000e-01,1.800000e-02,
8.000000e-01,4.800000e-02,
7.200000e-01,3.600000e-02,
9.600000e-01,2.000000e-03,
8.800000e-01,3.200000e-02,
1.160000e+00,1.200000e-02,
1.120000e+00,3.000000e-02,
1.360000e+00,1.000000e-02,
1.280000e+00,2.800000e-02,
1.560000e+00,6.000000e-03,
1.480000e+00,2.800000e-02,
1.760000e+00,4.000000e-03,
1.680000e+00,4.000000e-03,
1.920000e+00,2.600000e-02,
1.840000e+00,2.600000e-02,
2.160000e+00,4.000000e-03,
2.080000e+00,6.000000e-03,
2.320000e+00,2.800000e-02,
2.240000e+00,2.800000e-02,
2.560000e+00,6.000000e-03,
2.480000e+00,1.200000e-02,
2.720000e+00,3.200000e-02,
2.640000e+00,1.000000e-02,
2.960000e+00,7.600000e-02,
2.880000e+00,2.000000e-02,
3.120000e+00,4.600000e-02,
3.040000e+00,2.800000e-02,
3.320000e+00,6.400000e-02,
3.240000e+00,6.000000e-02,
3.520000e+00,4.000000e-02,
3.440000e+00,4.000000e-02,
3.720000e+00,8.400000e-02,
3.640000e+00,5.800000e-02,
3.920000e+00,9.400000e-02,
3.840000e+00,6.800000e-02,
4.120000e+00,1.000000e-01,
4.000000e+00,9.200000e-02,
4.320000e+00,1.340000e-01,
4.240000e+00,1.320000e-01,
4.480000e+00,1.020000e-01,
4.440000e+00,1.060000e-01,
4.720000e+00,1.780000e-01,
4.640000e+00,1.860000e-01,
4.880000e+00,1.500000e-01,
4.800000e+00,1.400000e-01,
5.080000e+00,1.860000e-01,
5.000000e+00,1.740000e-01,
5.280000e+00,2.460000e-01,
5.200000e+00,2.420000e-01,
5.480000e+00,1.900000e-01,
5.400000e+00,1.900000e-01,
5.680000e+00,2.960000e-01,
5.600000e+00,3.160000e-01,
5.880000e+00,2.800000e-01,
5.800000e+00,2.620000e-01,
6.080000e+00,3.120000e-01,
6.000000e+00,3.000000e-01,
6.280000e+00,4.260000e-01,
6.200000e+00,4.220000e-01,
6.480000e+00,3.640000e-01,
6.400000e+00,3.660000e-01,
6.680000e+00,4.760000e-01,
6.600000e+00,4.760000e-01,
6.840000e+00,4.760000e-01,
6.760000e+00,4.760000e-01,
7.080000e+00,4.760000e-01,
7.000000e+00,4.760000e-01,
7.240000e+00,4.760000e-01,
7.160000e+00,4.760000e-01,
7.480000e+00,4.760000e-01,
7.400000e+00,4.760000e-01,
7.640000e+00,4.760000e-01,
7.560000e+00,4.760000e-01,
7.840000e+00,4.760000e-01,
7.760000e+00,4.760000e-01,
8.040000e+00,4.760000e-01,
8.080000e+00,4.760000e-01,
0.000000e+00,2.080000e-01,
1.200000e-01,3.100000e-01,
0.000000e+00,2.640000e-01,
0.000000e+00,2.760000e-01,
1.200000e-01,1.540000e-01,
8.000000e-02,1.820000e-01,
0.000000e+00,4.600000e-02,
8.000000e-02,7.600000e-02,
0.000000e+00,-2.200000e-02,
4.000000e-02,-8.000000e-03,
1.200000e-01,-3.400000e-02,
4.000000e-02,-3.400000e-02,
1.200000e-01,-3.400000e-02,
1.200000e-01,-3.400000e-02,
4.000000e-02,-3.400000e-02,
4.000000e-02,-3.400000e-02,
1.200000e-01,-1.600000e-02,
1.200000e-01,-3.400000e-02,
4.000000e-02,2.000000e-03,
5.600000e-01,-3.400000e-02,
-1.200000e-01,5.200000e-02,
2.800000e-01,4.000000e-03,
5.600000e-01,3.600000e-02,
4.800000e-01,4.800000e-02,
7.600000e-01,1.000000e-02,
6.800000e-01,2.000000e-03,
9.600000e-01,5.400000e-02,
8.800000e-01,3.200000e-02,
1.160000e+00,1.000000e-02,
1.080000e+00,4.000000e-02,
1.360000e+00,-2.000000e-03,
1.280000e+00,5.000000e-02,
1.560000e+00,-8.000000e-03,
1.480000e+00,-2.000000e-03,
1.760000e+00,3.400000e-02,
1.680000e+00,-1.200000e-02,
1.920000e+00,4.600000e-02,
1.880000e+00,4.000000e-03,
2.160000e+00,2.800000e-02,
2.080000e+00,-8.000000e-03,
2.320000e+00,3.400000e-02,
2.240000e+00,-6.000000e-03,
2.560000e+00,4.800000e-02,
2.480000e+00,3.600000e-02,
2.720000e+00,6.000000e-03,
2.640000e+00,6.800000e-02,
2.960000e+00,4.000000e-03,
2.880000e+00,0.000000e+00,
3.120000e+00,4.400000e-02,
3.040000e+00,2.800000e-02,
3.320000e+00,6.600000e-02,
3.240000e+00,2.200000e-02,
3.520000e+00,8.200000e-02,
3.440000e+00,4.200000e-02,
3.720000e+00,9.200000e-02,
3.600000e+00,5.600000e-02,
3.920000e+00,1.080000e-01,
3.840000e+00,6.200000e-02,
4.120000e+00,9.800000e-02,
4.040000e+00,8.600000e-02,
4.320000e+00,1.520000e-01,
4.240000e+00,1.440000e-01,
4.520000e+00,8.800000e-02,
4.400000e+00,1.060000e-01,
4.720000e+00,1.820000e-01,
4.640000e+00,1.940000e-01,
4.880000e+00,1.340000e-01,
4.800000e+00,1.320000e-01,
5.080000e+00,1.900000e-01,
5.000000e+00,1.780000e-01,
5.280000e+00,2.560000e-01,
5.200000e+00,2.460000e-01,
5.480000e+00,1.820000e-01,
5.400000e+00,1.940000e-01,
5.680000e+00,3.000000e-01,
5.600000e+00,3.200000e-01,
5.880000e+00,2.620000e-01,
5.800000e+00,2.540000e-01,
6.080000e+00,3.100000e-01,
5.800000e+00,2.540000e-01,
6.080000e+00,3.100000e-01,
